step 0: train loss 10.9987, val loss 10.9994
iter 730: loss 7.9375, time 180.62ms, ETA: 1d 8h, progress: 0.1%
iter 740: loss 7.9375, time 180.14ms, ETA: 1d 8h, progress: 0.1%
iter 750: loss 7.8750, time 180.47ms, ETA: 1d 8h, progress: 0.1%
iter 760: loss 7.9375, time 174.44ms, ETA: 1d 8h, progress: 0.1%
iter 770: loss 8.0625, time 180.06ms, ETA: 1d 8h, progress: 0.1%
iter 780: loss 7.9688, time 180.90ms, ETA: 1d 8h, progress: 0.1%
iter 790: loss 7.8750, time 181.08ms, ETA: 1d 8h, progress: 0.1%
[2025-08-27 20:18:19,302] [INFO] [logging.py:107:log_dist] [Rank 0] step=20, skipped=0, lr=[0.00023988005997001497], mom=[[0.9, 0.95]]
[2025-08-27 20:18:19,314] [INFO] [timer.py:264:stop] epoch=0/micro_step=800/global_step=20, RunningAvgSamplesPerSec=647.6336489346997, CurrSamplesPerSec=635.6268788600937, MemAllocated=0.42GB, MaxMemAllocated=7.37GB
iter 800: loss 7.9688, time 173.85ms, ETA: 1d 8h, progress: 0.1%
iter 810: loss 7.7500, time 180.65ms, ETA: 1d 8h, progress: 0.1%
iter 820: loss 7.7500, time 180.90ms, ETA: 1d 8h, progress: 0.1%
iter 830: loss 7.7812, time 179.80ms, ETA: 1d 8h, progress: 0.1%
iter 840: loss 7.6562, time 173.94ms, ETA: 1d 8h, progress: 0.1%
iter 850: loss 7.6562, time 180.54ms, ETA: 1d 8h, progress: 0.1%
iter 860: loss 7.8438, time 178.51ms, ETA: 1d 8h, progress: 0.1%
iter 870: loss 7.8750, time 181.22ms, ETA: 1d 8h, progress: 0.1%
iter 880: loss 7.6250, time 176.38ms, ETA: 1d 8h, progress: 0.1%
iter 890: loss 7.7500, time 179.58ms, ETA: 1d 8h, progress: 0.1%
iter 900: loss 7.6250, time 179.90ms, ETA: 1d 8h, progress: 0.1%
iter 910: loss 7.6562, time 180.90ms, ETA: 1d 8h, progress: 0.2%
iter 920: loss 7.5000, time 176.09ms, ETA: 1d 8h, progress: 0.2%
iter 930: loss 7.4688, time 180.45ms, ETA: 1d 8h, progress: 0.2%
iter 940: loss 7.5938, time 179.92ms, ETA: 1d 8h, progress: 0.2%
iter 950: loss 7.5938, time 179.87ms, ETA: 1d 8h, progress: 0.2%
iter 960: loss 7.4062, time 177.38ms, ETA: 1d 8h, progress: 0.2%
iter 970: loss 7.4688, time 177.32ms, ETA: 1d 8h, progress: 0.2%
iter 980: loss 7.4688, time 179.96ms, ETA: 1d 8h, progress: 0.2%
iter 990: loss 7.4062, time 178.13ms, ETA: 1d 8h, progress: 0.2%
step 1000: train loss 7.4003, val loss 7.4136 | ETA: 1d 10h (2025-08-29 07:06:31) | Progress: 0.2%
saving checkpoint to out
iter 1000: loss 7.4062, time 16437.41ms, ETA: 1d 10h, progress: 0.2%
iter 1010: loss 7.6875, time 177.08ms, ETA: 1d 10h, progress: 0.2%
iter 1020: loss 7.2500, time 178.97ms, ETA: 1d 10h, progress: 0.2%
iter 1030: loss 7.4375, time 177.94ms, ETA: 1d 10h, progress: 0.2%
iter 1040: loss 7.5312, time 172.01ms, ETA: 1d 10h, progress: 0.2%
iter 1050: loss 7.5625, time 178.86ms, ETA: 1d 10h, progress: 0.2%
iter 1060: loss 7.4688, time 179.19ms, ETA: 1d 10h, progress: 0.2%
iter 1070: loss 7.3125, time 176.41ms, ETA: 1d 10h, progress: 0.2%
iter 1080: loss 7.3438, time 172.44ms, ETA: 1d 10h, progress: 0.2%
iter 1090: loss 7.3125, time 179.93ms, ETA: 1d 10h, progress: 0.2%
iter 1100: loss 7.3438, time 180.22ms, ETA: 1d 10h, progress: 0.2%
iter 1110: loss 7.2188, time 180.07ms, ETA: 1d 10h, progress: 0.2%
iter 1120: loss 7.0000, time 173.50ms, ETA: 1d 10h, progress: 0.2%
iter 1130: loss 7.2812, time 179.77ms, ETA: 1d 10h, progress: 0.2%
iter 1140: loss 7.4375, time 180.35ms, ETA: 1d 10h, progress: 0.2%
iter 1150: loss 7.2500, time 179.83ms, ETA: 1d 10h, progress: 0.2%
iter 1160: loss 7.2188, time 173.76ms, ETA: 1d 10h, progress: 0.2%
iter 1170: loss 7.0938, time 180.22ms, ETA: 1d 10h, progress: 0.2%
