step 0: train loss 10.9886, val loss 10.9897
iter 630: loss 5.2673, time 745.17ms, mfu 22.93%, ETA: 5d 7h, progress: 0.1%
iter 640: loss 5.0112, time 731.43ms, mfu 22.94%, ETA: 5d 6h, progress: 0.1%
iter 650: loss 5.3469, time 728.48ms, mfu 22.95%, ETA: 5d 6h, progress: 0.1%
iter 660: loss 5.2240, time 726.83ms, mfu 22.97%, ETA: 5d 6h, progress: 0.1%
iter 670: loss 5.4094, time 728.79ms, mfu 22.99%, ETA: 5d 6h, progress: 0.1%
iter 680: loss 5.2603, time 752.68ms, mfu 22.92%, ETA: 5d 6h, progress: 0.1%
iter 690: loss 5.1953, time 738.02ms, mfu 22.91%, ETA: 5d 6h, progress: 0.1%
iter 700: loss 5.2416, time 725.47ms, mfu 22.94%, ETA: 5d 6h, progress: 0.1%
iter 710: loss 5.1927, time 736.35ms, mfu 22.93%, ETA: 5d 6h, progress: 0.1%
iter 720: loss 5.0339, time 739.54ms, mfu 22.92%, ETA: 5d 6h, progress: 0.1%
iter 730: loss 5.0425, time 743.61ms, mfu 22.89%, ETA: 5d 6h, progress: 0.1%
iter 740: loss 4.9374, time 734.37ms, mfu 22.89%, ETA: 5d 6h, progress: 0.1%
iter 750: loss 5.1194, time 726.89ms, mfu 22.92%, ETA: 5d 6h, progress: 0.1%
iter 760: loss 5.0603, time 723.36ms, mfu 22.95%, ETA: 5d 6h, progress: 0.1%
iter 770: loss 5.1030, time 721.79ms, mfu 22.99%, ETA: 5d 6h, progress: 0.1%
iter 780: loss 4.7931, time 746.08ms, mfu 22.95%, ETA: 5d 6h, progress: 0.1%
iter 790: loss 4.8556, time 737.95ms, mfu 22.93%, ETA: 5d 6h, progress: 0.1%
iter 800: loss 5.0054, time 719.70ms, mfu 22.98%, ETA: 5d 5h, progress: 0.1%
iter 810: loss 4.8218, time 746.92ms, mfu 22.93%, ETA: 5d 5h, progress: 0.1%
iter 820: loss 4.8515, time 746.23ms, mfu 22.90%, ETA: 5d 5h, progress: 0.1%
iter 830: loss 4.8781, time 746.97ms, mfu 22.86%, ETA: 5d 5h, progress: 0.1%
iter 840: loss 4.9122, time 732.48ms, mfu 22.87%, ETA: 5d 5h, progress: 0.1%
iter 850: loss 4.7712, time 745.06ms, mfu 22.84%, ETA: 5d 5h, progress: 0.1%
iter 860: loss 4.8424, time 745.44ms, mfu 22.82%, ETA: 5d 5h, progress: 0.1%
iter 870: loss 4.9323, time 731.14ms, mfu 22.84%, ETA: 5d 5h, progress: 0.1%
iter 880: loss 4.7350, time 737.48ms, mfu 22.84%, ETA: 5d 5h, progress: 0.1%
iter 890: loss 4.9103, time 751.56ms, mfu 22.79%, ETA: 5d 5h, progress: 0.1%
iter 900: loss 4.6707, time 733.89ms, mfu 22.81%, ETA: 5d 5h, progress: 0.1%
iter 910: loss 4.6388, time 727.55ms, mfu 22.84%, ETA: 5d 5h, progress: 0.2%
iter 920: loss 4.6491, time 717.17ms, mfu 22.90%, ETA: 5d 5h, progress: 0.2%
iter 930: loss 4.7869, time 735.06ms, mfu 22.90%, ETA: 5d 5h, progress: 0.2%
iter 940: loss 4.5926, time 738.33ms, mfu 22.89%, ETA: 5d 5h, progress: 0.2%
iter 950: loss 4.3725, time 721.33ms, mfu 22.94%, ETA: 5d 5h, progress: 0.2%
iter 960: loss 4.6507, time 734.73ms, mfu 22.93%, ETA: 5d 5h, progress: 0.2%
iter 970: loss 4.5346, time 740.25ms, mfu 22.91%, ETA: 5d 5h, progress: 0.2%
iter 980: loss 4.2809, time 715.90ms, mfu 22.97%, ETA: 5d 5h, progress: 0.2%
iter 990: loss 4.4290, time 743.08ms, mfu 22.94%, ETA: 5d 5h, progress: 0.2%
step 1000: train loss 4.5108, val loss 4.5185 | ETA: 5d 7h (2025-09-01 19:36:08) | Progress: 0.2%
saving checkpoint to out
iter 1000: loss 4.5308, time 18330.71ms, mfu 20.74%, ETA: 5d 8h, progress: 0.2%
iter 1010: loss 4.4995, time 716.41ms, mfu 21.02%, ETA: 5d 7h, progress: 0.2%
iter 1020: loss 4.5700, time 704.24ms, mfu 21.30%, ETA: 5d 7h, progress: 0.2%
iter 1030: loss 4.6155, time 719.29ms, mfu 21.51%, ETA: 5d 7h, progress: 0.2%
iter 1040: loss 4.4748, time 727.30ms, mfu 21.68%, ETA: 5d 7h, progress: 0.2%
iter 1050: loss 4.3429, time 715.43ms, mfu 21.86%, ETA: 5d 7h, progress: 0.2%
iter 1060: loss 4.3523, time 713.30ms, mfu 22.04%, ETA: 5d 7h, progress: 0.2%
iter 1070: loss 4.2081, time 745.53ms, mfu 22.09%, ETA: 5d 7h, progress: 0.2%
iter 1080: loss 4.4388, time 717.67ms, mfu 22.23%, ETA: 5d 7h, progress: 0.2%
iter 1090: loss 4.4405, time 741.57ms, mfu 22.27%, ETA: 5d 7h, progress: 0.2%
iter 1100: loss 4.2912, time 734.73ms, mfu 22.34%, ETA: 5d 7h, progress: 0.2%
iter 1110: loss 4.3872, time 731.46ms, mfu 22.40%, ETA: 5d 7h, progress: 0.2%
iter 1120: loss 4.5029, time 717.81ms, mfu 22.51%, ETA: 5d 7h, progress: 0.2%
iter 1130: loss 4.3792, time 732.99ms, mfu 22.55%, ETA: 5d 7h, progress: 0.2%
iter 1140: loss 4.3504, time 723.01ms, mfu 22.63%, ETA: 5d 7h, progress: 0.2%
iter 1150: loss 4.2545, time 743.94ms, mfu 22.63%, ETA: 5d 7h, progress: 0.2%
iter 1160: loss 4.1835, time 743.45ms, mfu 22.63%, ETA: 5d 7h, progress: 0.2%
iter 1170: loss 4.3555, time 742.29ms, mfu 22.63%, ETA: 5d 6h, progress: 0.2%
iter 1180: loss 4.4581, time 724.49ms, mfu 22.69%, ETA: 5d 6h, progress: 0.2%
iter 1190: loss 4.2780, time 724.02ms, mfu 22.75%, ETA: 5d 6h, progress: 0.2%
iter 1200: loss 4.3392, time 739.65ms, mfu 22.75%, ETA: 5d 6h, progress: 0.2%
iter 1210: loss 4.2297, time 732.37ms, mfu 22.77%, ETA: 5d 6h, progress: 0.2%
iter 1220: loss 4.3061, time 760.12ms, mfu 22.71%, ETA: 5d 6h, progress: 0.2%
iter 1230: loss 4.0496, time 716.03ms, mfu 22.79%, ETA: 5d 6h, progress: 0.2%
iter 1240: loss 4.1586, time 725.99ms, mfu 22.83%, ETA: 5d 6h, progress: 0.2%
